Job Title,Company,Experience,Location,Salary,Link,Skills
Technical Business Analyst 2,EY,"<span class=""ellipsis fleft fs12 lh16"" title=""6-11 Yrs "">6-11 Yrs</span>","Kolkata, Kerala",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-technical-business-analyst-2-eygbs-india-llp-kolkata-kerala-6-to-11-years-050922000324"")","PowerBI, SSAS, SSIS, Oracle database, ETL, SAS, SQL, Excel"
Hybris Business analyst,Wipro,"<span class=""ellipsis fleft fs12 lh16"" title=""7-12 Yrs "">7-12 Yrs</span>","Kolkata, Noida, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","7,00,000 - 17,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-hybris-business-analyst-wipro-limited-noida-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-7-to-12-years-010922001361"")","COTS e-commerce software, SAP Commerce  Hybris, Magento 2, IT Skills, SAP, business analysis"
Business Analyst,ZINFI,"<span class=""ellipsis fleft fs12 lh16"" title=""4-9 Yrs "">4-9 Yrs</span>",Kolkata,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-zinfi-software-systems-private-ltd-kolkata-4-to-9-years-050922002583"")","project management, Delivery Management, Business Analysis, Business Requirement Document, User Stories, Data Flow, Mock, Communication"
Business Analyst,Zensar,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""9-14 Yrs "">9-14 Yrs</span>","Kolkata, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-zensar-technologies-limited-kolkata-hyderabad-secunderabad-pune-bangalore-bengaluru-9-to-14-years-250822000837"")","Business Analytics, BA, Business Analysis"
Business Analyst,JK Technosoft,"<span class=""ellipsis fleft fs12 lh16"" title=""3-8 Yrs "">3-8 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, delhi ncr",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-jk-technosoft-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-3-to-8-years-010922909306"")","Supply chain, Business analysis, Analytical, User acceptance testing, Monitoring, Word, Excel, IT Skills"
Business Analyst,More Supermarket,"<span class=""ellipsis fleft fs12 lh16"" title=""2-6 Yrs "">2-6 Yrs</span>",Kolkata,"9,00,000 - 12,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-more-retail-private-limited-kolkata-2-to-6-years-300822009819"")","business analysis, Tableau, SQL, PowerBI, business process optimization, Python"
Business Analyst,Randstad India Private Limited,"<span class=""ellipsis fleft fs12 lh16"" title=""4-7 Yrs "">4-7 Yrs</span>","Kolkata, Kochi/Cochin, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Trivandrum/Thiruvananthapuram",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-randstad-india-private-limited-kochi-cochin-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-trivandrum-thiruvananthapuram-4-to-7-years-020922001745"")","efront, business analysis, wealth mangement"
Business Analyst,Pepper Cloud,"<span class=""ellipsis fleft fs12 lh16"" title=""2-6 Yrs "">2-6 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-pepper-cloud-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-delhi-ncr-bangalore-bengaluru-2-to-6-years-300822904020"")","Business Analysis, IT Skills, Testing, Confluence, Balsamic, Jira, Axure"
Hiring Business Analyst Aviation Domain,Mindtree,"<span class=""ellipsis fleft fs12 lh16"" title=""7-12 Yrs "">7-12 Yrs</span>","Kolkata, Chennai, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-hiring-business-analyst-aviation-domain-mindtree-limited-kolkata-chennai-bangalore-bengaluru-7-to-12-years-240822001112"")","pnr, business analysis, reservation, aviation, sabre, worldspan, amadeus, gds"
Business Analyst,U3 Infotech,"<span class=""ellipsis fleft fs12 lh16"" title=""4-8 Yrs "">4-8 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-u3-infotech-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-4-to-8-years-010922900863"")","business analysis, IT Skills, Software Development, Sharepoint, technical writing, ERP, analytical, gap analysis"
Business Analyst (RPA & Blue Prism) || Kolkata & Gurgaon,2coms,"<span class=""ellipsis fleft fs12 lh16"" title=""7-12 Yrs "">7-12 Yrs</span>","Kolkata, Kolkata","10,00,000 - 20,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-rpa-blue-prism-kolkata-gurgaon-2coms-kolkata-kolkata-7-to-12-years-020922902925"")","Robotic Process Automation, Roadmap planning, RPA, Workshop management, RPA Development, Blue Prism Development, planning, Project management"
"System Analyst , Business Analyst",Alicon IT Solutions,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""0-5 Yrs "">0-5 Yrs</span>","Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru","5,00,000 - 14,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-system-analyst-business-analyst-alicon-it-solutions-kolkata-hyderabad-secunderabad-bangalore-bengaluru-0-to-5-years-010922008878"")","System Development, System Analysis, System Implementation, System Improvement, System, net framework, communication, verbal"
Business Analyst - Delivery - Consulting Firm,Serving Skill,"<span class=""ellipsis fleft fs12 lh16"" title=""3-5 Yrs "">3-5 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-delivery-consulting-firm-serving-skill-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-bangalore-bengaluru-delhi-ncr-3-to-5-years-010922903073"")","Research and Documentation, Client Management, IT Business Analyst, Business Solutions, Pre-Sales, Client Solutioning, Documentation, Research"
Lead Business Analyst - P&C Domain,Huquo Consulting Pvt. Ltd,"<span class=""ellipsis fleft fs12 lh16"" title=""7-12 Yrs "">7-12 Yrs</span>","Kolkata, Mumbai, Pune, Gurgaon/Gurugram, Ahmedabad, Chennai, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-lead-business-analyst-p-c-domain-huquo-consulting-pvt-ltd-kolkata-mumbai-pune-gurgaon-gurugram-ahmedabad-chennai-bangalore-bengaluru-7-to-12-years-310822905121"")","UAT, Duck Creek, communication, Business Analyst"
Business Analyst,Hucon,"<span class=""ellipsis fleft fs12 lh16"" title=""2-7 Yrs "">2-7 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-hucon-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-2-to-7-years-310822905076"")","business process, Use Case Model, client business model, Business Analyst, requirement management process, Business Analysis"
Business Analyst - Corporate Governance Industry - IIM/ISB/MDI/FMS,Primo Hiring,"<span class=""ellipsis fleft fs12 lh16"" title=""1-3 Yrs "">1-3 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-corporate-governance-industry-iim-isb-mdi-fms-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-1-to-3-years-290822904358"")","Business analysis, Data analysis, Manager Quality Assurance, Business Analyst, Corporate governance, Technical writing, Process documentation, Analytical"
